,title,year,country,style,rating_num,evaluate_num,quote,href
156,花样年华,2000,中国香港,剧情 爱情,8.7,527798,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
157,电锯惊魂,2004,美国,悬疑 惊悚 恐怖,8.7,471852,真相就在眼前。,https://movie.douban.com/subject/1417598/
158,头脑特工队,2015,美国,喜剧 动画 冒险,8.8,539824,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
159,三块广告牌,2017,美国 英国,剧情 犯罪,8.7,744734,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/
160,卢旺达饭店,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,8.9,290716,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
161,你的名字。,2016,日本,剧情 爱情 动画,8.5,1245332,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
162,疯狂原始人,2013,美国,喜剧 动画 冒险,8.7,765377,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
163,上帝之城,2002,巴西 法国,犯罪 剧情,9.0,274805,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
164,达拉斯买家俱乐部,2013,美国,剧情 传记 同性,8.8,406659,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
165,谍影重重3,2007,美国 德国,动作 悬疑 惊悚,8.8,379836,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
166,风之谷,1984,日本,动画 奇幻 冒险,8.9,326264,动画片的圣经。,https://movie.douban.com/subject/1291585/
167,英雄本色,1986,中国香港,剧情 动作 犯罪,8.6,473831,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
168,心迷宫,2014,中国大陆,剧情 犯罪 悬疑,8.7,456905,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
169,纵横四海,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,373808,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
170,惊魂记,1960,美国,悬疑 惊悚 恐怖,9.0,243590,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
